year,age_group,edu_level,unemployment_value
2024,15 - 24 years,Less than primary (Level 0),
2024,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2024,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2024,15 - 24 years,Tertiary education (Levels 5-8),
2024,25 - 54 years,Less than primary (Level 0),
2024,25 - 54 years,Primary and lower secondary education (Levels 1-2),2.9
2024,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.3
2024,25 - 54 years,Tertiary education (Levels 5-8),0.5
2024,25 - 54 years,Less than primary (Level 0),
2024,25 - 54 years,Primary and lower secondary education (Levels 1-2),2.9
2024,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.1
2024,25 - 54 years,Tertiary education (Levels 5-8),0.5
2024,25 - 54 years,Less than primary (Level 0),
2024,25 - 54 years,Primary and lower secondary education (Levels 1-2),
2024,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.4
2024,25 - 54 years,Tertiary education (Levels 5-8),0.6
2024,55 - 74 years,Less than primary (Level 0),
2024,55 - 74 years,Primary and lower secondary education (Levels 1-2),1.3
2024,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.2
2024,55 - 74 years,Tertiary education (Levels 5-8),0.7
2024,55 - 74 years,Less than primary (Level 0),
2024,55 - 74 years,Primary and lower secondary education (Levels 1-2),
2024,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2024,55 - 74 years,Tertiary education (Levels 5-8),
2024,55 - 74 years,Less than primary (Level 0),
2024,55 - 74 years,Primary and lower secondary education (Levels 1-2),
2024,55 - 74 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),
2024,55 - 74 years,Tertiary education (Levels 5-8),
